CodFuncionario:1; SalarioAtual:15522.9; TotaldeVendas:3457.17
CodFuncionario:80; SalarioAtual:5903.92; TotaldeVendas:1269.25
CodFuncionario:81; SalarioAtual:18336.9; TotaldeVendas:1122.79
CodFuncionario:82; SalarioAtual:15766.73; TotaldeVendas:6096.12
CodFuncionario:83; SalarioAtual:29138.44; TotaldeVendas:5045.98
CodFuncionario:84; SalarioAtual:16470.79; TotaldeVendas:6756.73
CodFuncionario:85; SalarioAtual:7335.36; TotaldeVendas:7356.19
CodFuncionario:86; SalarioAtual:6784.65; TotaldeVendas:8995.08
CodFuncionario:87; SalarioAtual:23139.07; TotaldeVendas:3426.72
CodFuncionario:88; SalarioAtual:12878.86; TotaldeVendas:7915.56
CodFuncionario:89; SalarioAtual:14518.38; TotaldeVendas:9504.79
CodFuncionario:90; SalarioAtual:29559.64; TotaldeVendas:5921.43
CodFuncionario:91; SalarioAtual:22948.01; TotaldeVendas:7853.21
CodFuncionario:92; SalarioAtual:20643.9; TotaldeVendas:6333.48
CodFuncionario:93; SalarioAtual:17629.55; TotaldeVendas:6061.12
CodFuncionario:94; SalarioAtual:7726.48; TotaldeVendas:5283.49
CodFuncionario:95; SalarioAtual:12970.65; TotaldeVendas:6466.97
CodFuncionario:96; SalarioAtual:6300.4; TotaldeVendas:3502.19
CodFuncionario:97; SalarioAtual:16091.64; TotaldeVendas:9028.31
CodFuncionario:98; SalarioAtual:20001.29; TotaldeVendas:5629.99
CodFuncionario:99; SalarioAtual:17589.14; TotaldeVendas:5049.41
CodFuncionario:100; SalarioAtual:27049.73; TotaldeVendas:5258.54
CodFuncionario:101; SalarioAtual:17180.26; TotaldeVendas:7828.44
CodFuncionario:102; SalarioAtual:8254.1; TotaldeVendas:4903.01
CodFuncionario:103; SalarioAtual:19232.7; TotaldeVendas:8359.47
CodFuncionario:104; SalarioAtual:21112.93; TotaldeVendas:9739.81
CodFuncionario:105; SalarioAtual:10264.37; TotaldeVendas:5665.76
CodFuncionario:106; SalarioAtual:26374.68; TotaldeVendas:5661.84
CodFuncionario:107; SalarioAtual:10047.21; TotaldeVendas:1582.0
CodFuncionario:108; SalarioAtual:14263.41; TotaldeVendas:4057.49
CodFuncionario:109; SalarioAtual:23150.29; TotaldeVendas:6467.63
CodFuncionario:110; SalarioAtual:25329.76; TotaldeVendas:5604.55
CodFuncionario:111; SalarioAtual:12157.35; TotaldeVendas:7074.89
CodFuncionario:112; SalarioAtual:29422.37; TotaldeVendas:5079.94
CodFuncionario:113; SalarioAtual:13100.74; TotaldeVendas:6893.33
CodFuncionario:114; SalarioAtual:17013.53; TotaldeVendas:3888.91
CodFuncionario:115; SalarioAtual:12632.61; TotaldeVendas:5371.61
CodFuncionario:116; SalarioAtual:10577.76; TotaldeVendas:9230.49
CodFuncionario:117; SalarioAtual:19705.43; TotaldeVendas:6665.57
CodFuncionario:118; SalarioAtual:22002.29; TotaldeVendas:4877.21
CodFuncionario:119; SalarioAtual:22270.9; TotaldeVendas:2019.96
CodFuncionario:120; SalarioAtual:19632.54; TotaldeVendas:6489.76
CodFuncionario:121; SalarioAtual:21536.95; TotaldeVendas:4878.96
CodFuncionario:122; SalarioAtual:24262.92; TotaldeVendas:9632.92
CodFuncionario:123; SalarioAtual:16139.98; TotaldeVendas:2152.44
CodFuncionario:124; SalarioAtual:20058.45; TotaldeVendas:1044.87
CodFuncionario:125; SalarioAtual:22358.51; TotaldeVendas:5610.23
CodFuncionario:126; SalarioAtual:9348.91; TotaldeVendas:6389.01
CodFuncionario:127; SalarioAtual:7341.44; TotaldeVendas:5008.63
CodFuncionario:128; SalarioAtual:11579.91; TotaldeVendas:6795.05
CodFuncionario:129; SalarioAtual:10531.07; TotaldeVendas:7444.35
CodFuncionario:130; SalarioAtual:9894.92; TotaldeVendas:7628.06
CodFuncionario:131; SalarioAtual:11233.27; TotaldeVendas:7542.17
CodFuncionario:132; SalarioAtual:11288.25; TotaldeVendas:2397.64
CodFuncionario:133; SalarioAtual:8592.11; TotaldeVendas:8367.69
CodFuncionario:134; SalarioAtual:11568.52; TotaldeVendas:9773.94
CodFuncionario:135; SalarioAtual:6067.69; TotaldeVendas:2265.7
CodFuncionario:136; SalarioAtual:9412.35; TotaldeVendas:2226.82
CodFuncionario:137; SalarioAtual:7108.45; TotaldeVendas:4587.5
CodFuncionario:138; SalarioAtual:19198.73; TotaldeVendas:5304.85
CodFuncionario:139; SalarioAtual:13095.87; TotaldeVendas:1305.95
CodFuncionario:140; SalarioAtual:7498.46; TotaldeVendas:3717.26
CodFuncionario:141; SalarioAtual:19708.3; TotaldeVendas:6171.71
CodFuncionario:142; SalarioAtual:17315.07; TotaldeVendas:7345.9
CodFuncionario:143; SalarioAtual:8569.34; TotaldeVendas:5018.86
CodFuncionario:144; SalarioAtual:17304.53; TotaldeVendas:7131.0
CodFuncionario:145; SalarioAtual:9612.24; TotaldeVendas:9225.84
CodFuncionario:146; SalarioAtual:19053.53; TotaldeVendas:3997.67
CodFuncionario:147; SalarioAtual:21464.33; TotaldeVendas:4693.88
CodFuncionario:148; SalarioAtual:21975.15; TotaldeVendas:1342.07
CodFuncionario:149; SalarioAtual:24289.44; TotaldeVendas:8034.56
CodFuncionario:150; SalarioAtual:19429.29; TotaldeVendas:3620.38
CodFuncionario:151; SalarioAtual:19450.2; TotaldeVendas:3517.13
CodFuncionario:152; SalarioAtual:27998.72; TotaldeVendas:7623.99
CodFuncionario:153; SalarioAtual:25113.45; TotaldeVendas:6744.13
CodFuncionario:154; SalarioAtual:12018.88; TotaldeVendas:6516.39
CodFuncionario:155; SalarioAtual:24161.49; TotaldeVendas:2606.31
CodFuncionario:156; SalarioAtual:5507.15; TotaldeVendas:5835.13
CodFuncionario:157; SalarioAtual:22526.95; TotaldeVendas:9177.32
CodFuncionario:158; SalarioAtual:11802.84; TotaldeVendas:2330.83
CodFuncionario:159; SalarioAtual:15795.25; TotaldeVendas:2118.63
CodFuncionario:160; SalarioAtual:21145.13; TotaldeVendas:7527.25
CodFuncionario:161; SalarioAtual:24599.73; TotaldeVendas:3478.58
CodFuncionario:162; SalarioAtual:19621.59; TotaldeVendas:7718.54
CodFuncionario:163; SalarioAtual:5190.94; TotaldeVendas:1849.0
CodFuncionario:164; SalarioAtual:25754.45; TotaldeVendas:5598.05
CodFuncionario:165; SalarioAtual:26800.69; TotaldeVendas:1197.56
CodFuncionario:166; SalarioAtual:18013.37; TotaldeVendas:4626.4
CodFuncionario:167; SalarioAtual:14692.35; TotaldeVendas:7468.48
CodFuncionario:168; SalarioAtual:27788.49; TotaldeVendas:8463.48
CodFuncionario:169; SalarioAtual:13332.7; TotaldeVendas:6739.11
CodFuncionario:170; SalarioAtual:27742.51; TotaldeVendas:6734.08
CodFuncionario:171; SalarioAtual:7972.23; TotaldeVendas:4723.19
CodFuncionario:172; SalarioAtual:26527.74; TotaldeVendas:3065.42
CodFuncionario:173; SalarioAtual:26061.41; TotaldeVendas:9304.48
CodFuncionario:174; SalarioAtual:6549.89; TotaldeVendas:5604.4
CodFuncionario:175; SalarioAtual:23260.0; TotaldeVendas:1910.24
CodFuncionario:176; SalarioAtual:10149.48; TotaldeVendas:4709.41
CodFuncionario:177; SalarioAtual:10671.16; TotaldeVendas:3910.91
CodFuncionario:178; SalarioAtual:15870.72; TotaldeVendas:4646.42
CodFuncionario:179; SalarioAtual:11697.48; TotaldeVendas:5490.59
CodFuncionario:180; SalarioAtual:18302.66; TotaldeVendas:9622.94
CodFuncionario:181; SalarioAtual:13388.36; TotaldeVendas:1182.8
CodFuncionario:182; SalarioAtual:7711.65; TotaldeVendas:1981.61
CodFuncionario:183; SalarioAtual:10068.6; TotaldeVendas:3247.1
CodFuncionario:184; SalarioAtual:22361.15; TotaldeVendas:5522.09
CodFuncionario:185; SalarioAtual:5023.98; TotaldeVendas:4955.06
CodFuncionario:186; SalarioAtual:10238.0; TotaldeVendas:6759.6
CodFuncionario:187; SalarioAtual:8703.53; TotaldeVendas:9548.87
CodFuncionario:188; SalarioAtual:20557.07; TotaldeVendas:8177.34
CodFuncionario:189; SalarioAtual:12186.68; TotaldeVendas:5489.0
CodFuncionario:190; SalarioAtual:23260.88; TotaldeVendas:4226.1
CodFuncionario:191; SalarioAtual:10998.17; TotaldeVendas:3246.2
CodFuncionario:192; SalarioAtual:10018.99; TotaldeVendas:5286.33
CodFuncionario:193; SalarioAtual:27111.88; TotaldeVendas:3569.46
CodFuncionario:194; SalarioAtual:22253.45; TotaldeVendas:8350.99
CodFuncionario:195; SalarioAtual:22188.74; TotaldeVendas:1386.0
CodFuncionario:196; SalarioAtual:8559.89; TotaldeVendas:1005.44
CodFuncionario:197; SalarioAtual:9270.21; TotaldeVendas:9854.8
CodFuncionario:198; SalarioAtual:25080.01; TotaldeVendas:9791.01
CodFuncionario:199; SalarioAtual:16158.79; TotaldeVendas:7212.79
CodFuncionario:200; SalarioAtual:14163.3; TotaldeVendas:7681.22
CodFuncionario:201; SalarioAtual:10960.34; TotaldeVendas:2686.5
CodFuncionario:202; SalarioAtual:26310.52; TotaldeVendas:9774.89
CodFuncionario:203; SalarioAtual:15299.29; TotaldeVendas:6816.55
CodFuncionario:204; SalarioAtual:27679.11; TotaldeVendas:3400.01
CodFuncionario:205; SalarioAtual:12752.75; TotaldeVendas:3808.07
CodFuncionario:206; SalarioAtual:27815.49; TotaldeVendas:3409.29
CodFuncionario:207; SalarioAtual:10313.42; TotaldeVendas:1078.5
CodFuncionario:208; SalarioAtual:29716.61; TotaldeVendas:4869.81
CodFuncionario:209; SalarioAtual:7721.76; TotaldeVendas:4848.66
CodFuncionario:210; SalarioAtual:17144.79; TotaldeVendas:6377.64
CodFuncionario:211; SalarioAtual:15022.67; TotaldeVendas:9306.9
CodFuncionario:212; SalarioAtual:9755.28; TotaldeVendas:5328.9
CodFuncionario:213; SalarioAtual:24612.59; TotaldeVendas:4196.36
CodFuncionario:214; SalarioAtual:13440.77; TotaldeVendas:3116.41
CodFuncionario:215; SalarioAtual:17769.81; TotaldeVendas:6664.69
CodFuncionario:216; SalarioAtual:21300.26; TotaldeVendas:5442.78
CodFuncionario:217; SalarioAtual:5306.17; TotaldeVendas:3612.21
CodFuncionario:218; SalarioAtual:11037.68; TotaldeVendas:6843.99
CodFuncionario:219; SalarioAtual:29423.68; TotaldeVendas:6016.72
CodFuncionario:220; SalarioAtual:20151.38; TotaldeVendas:3420.56
CodFuncionario:221; SalarioAtual:9548.29; TotaldeVendas:3927.81
CodFuncionario:222; SalarioAtual:15254.46; TotaldeVendas:5125.29
CodFuncionario:223; SalarioAtual:17771.41; TotaldeVendas:2109.75
CodFuncionario:224; SalarioAtual:9781.15; TotaldeVendas:1520.97
CodFuncionario:225; SalarioAtual:16917.03; TotaldeVendas:3206.26
CodFuncionario:226; SalarioAtual:22346.86; TotaldeVendas:4261.44
CodFuncionario:227; SalarioAtual:27290.89; TotaldeVendas:1815.06
CodFuncionario:228; SalarioAtual:22059.63; TotaldeVendas:5704.79
CodFuncionario:229; SalarioAtual:28373.99; TotaldeVendas:7030.57
CodFuncionario:230; SalarioAtual:14899.2; TotaldeVendas:7140.6
CodFuncionario:231; SalarioAtual:5756.08; TotaldeVendas:2774.93
CodFuncionario:232; SalarioAtual:23478.7; TotaldeVendas:8513.81
CodFuncionario:233; SalarioAtual:29780.96; TotaldeVendas:6257.37
CodFuncionario:234; SalarioAtual:28721.75; TotaldeVendas:5782.35
CodFuncionario:235; SalarioAtual:28053.44; TotaldeVendas:8321.68
CodFuncionario:236; SalarioAtual:26416.45; TotaldeVendas:1890.88
CodFuncionario:237; SalarioAtual:5686.21; TotaldeVendas:1809.35
CodFuncionario:238; SalarioAtual:13822.8; TotaldeVendas:7514.98
CodFuncionario:239; SalarioAtual:6012.71; TotaldeVendas:9467.82
CodFuncionario:240; SalarioAtual:15600.76; TotaldeVendas:7164.44
CodFuncionario:241; SalarioAtual:24056.62; TotaldeVendas:8551.31
CodFuncionario:242; SalarioAtual:28258.16; TotaldeVendas:6713.5
CodFuncionario:243; SalarioAtual:7684.3; TotaldeVendas:2804.65
CodFuncionario:244; SalarioAtual:16914.14; TotaldeVendas:3902.39
CodFuncionario:245; SalarioAtual:18793.32; TotaldeVendas:7980.62
CodFuncionario:246; SalarioAtual:26000.12; TotaldeVendas:5726.39
CodFuncionario:247; SalarioAtual:14141.38; TotaldeVendas:4048.18
CodFuncionario:248; SalarioAtual:9499.96; TotaldeVendas:2538.66
CodFuncionario:249; SalarioAtual:7749.47; TotaldeVendas:7972.87
CodFuncionario:250; SalarioAtual:17114.37; TotaldeVendas:8416.91
CodFuncionario:251; SalarioAtual:21670.76; TotaldeVendas:1113.05
CodFuncionario:252; SalarioAtual:6606.93; TotaldeVendas:4147.27
CodFuncionario:253; SalarioAtual:20489.0; TotaldeVendas:4050.81
CodFuncionario:254; SalarioAtual:7794.52; TotaldeVendas:4030.34
CodFuncionario:255; SalarioAtual:14527.31; TotaldeVendas:4668.73
CodFuncionario:256; SalarioAtual:26784.15; TotaldeVendas:1147.95
CodFuncionario:257; SalarioAtual:12735.21; TotaldeVendas:2998.14
CodFuncionario:258; SalarioAtual:29745.49; TotaldeVendas:1286.53
CodFuncionario:259; SalarioAtual:18612.01; TotaldeVendas:1370.84
CodFuncionario:260; SalarioAtual:7422.3; TotaldeVendas:4733.5
CodFuncionario:261; SalarioAtual:28674.1; TotaldeVendas:4190.71
CodFuncionario:262; SalarioAtual:6139.12; TotaldeVendas:2180.19
CodFuncionario:263; SalarioAtual:13571.89; TotaldeVendas:7369.06
CodFuncionario:264; SalarioAtual:5705.48; TotaldeVendas:5209.55
CodFuncionario:265; SalarioAtual:25525.71; TotaldeVendas:2441.91
CodFuncionario:266; SalarioAtual:24996.61; TotaldeVendas:9388.0
CodFuncionario:267; SalarioAtual:7701.42; TotaldeVendas:5007.98
CodFuncionario:268; SalarioAtual:21557.43; TotaldeVendas:2396.68
CodFuncionario:269; SalarioAtual:11240.14; TotaldeVendas:2348.06
CodFuncionario:270; SalarioAtual:25381.9; TotaldeVendas:1486.37
CodFuncionario:271; SalarioAtual:10459.12; TotaldeVendas:3464.79
CodFuncionario:272; SalarioAtual:7691.59; TotaldeVendas:6752.57
CodFuncionario:273; SalarioAtual:13858.75; TotaldeVendas:5764.85
CodFuncionario:274; SalarioAtual:11005.43; TotaldeVendas:3279.66
CodFuncionario:275; SalarioAtual:8384.4; TotaldeVendas:4180.25
CodFuncionario:276; SalarioAtual:7454.65; TotaldeVendas:3578.69
CodFuncionario:277; SalarioAtual:15309.27; TotaldeVendas:4832.22
CodFuncionario:278; SalarioAtual:27064.83; TotaldeVendas:2283.18
CodFuncionario:279; SalarioAtual:16207.36; TotaldeVendas:6601.56
CodFuncionario:280; SalarioAtual:9591.1; TotaldeVendas:8282.07
CodFuncionario:281; SalarioAtual:27062.59; TotaldeVendas:9306.32
CodFuncionario:282; SalarioAtual:9049.41; TotaldeVendas:3555.25
CodFuncionario:283; SalarioAtual:7267.17; TotaldeVendas:4818.68
CodFuncionario:284; SalarioAtual:29338.82; TotaldeVendas:5456.55
CodFuncionario:285; SalarioAtual:8588.31; TotaldeVendas:8503.55
CodFuncionario:286; SalarioAtual:20505.21; TotaldeVendas:6976.25
CodFuncionario:287; SalarioAtual:19830.75; TotaldeVendas:8466.01
CodFuncionario:288; SalarioAtual:12176.77; TotaldeVendas:2792.22
CodFuncionario:289; SalarioAtual:21171.84; TotaldeVendas:2264.56
CodFuncionario:290; SalarioAtual:5972.6; TotaldeVendas:4143.19
CodFuncionario:291; SalarioAtual:20445.48; TotaldeVendas:8349.83
CodFuncionario:292; SalarioAtual:5996.04; TotaldeVendas:3709.5
CodFuncionario:293; SalarioAtual:6327.07; TotaldeVendas:6845.4
CodFuncionario:294; SalarioAtual:21384.84; TotaldeVendas:7313.5
CodFuncionario:295; SalarioAtual:29736.3; TotaldeVendas:3773.7
CodFuncionario:296; SalarioAtual:9599.26; TotaldeVendas:9927.08
CodFuncionario:297; SalarioAtual:12769.34; TotaldeVendas:3663.03
CodFuncionario:298; SalarioAtual:12775.65; TotaldeVendas:6579.13
CodFuncionario:299; SalarioAtual:12137.27; TotaldeVendas:3037.46
CodFuncionario:300; SalarioAtual:5963.46; TotaldeVendas:3874.11
CodFuncionario:301; SalarioAtual:20511.98; TotaldeVendas:2313.31
CodFuncionario:302; SalarioAtual:21711.62; TotaldeVendas:6081.92
CodFuncionario:303; SalarioAtual:16684.14; TotaldeVendas:8132.02
CodFuncionario:304; SalarioAtual:8855.83; TotaldeVendas:9656.24
CodFuncionario:305; SalarioAtual:25744.51; TotaldeVendas:4266.99
CodFuncionario:306; SalarioAtual:5264.66; TotaldeVendas:2015.68
CodFuncionario:307; SalarioAtual:21359.7; TotaldeVendas:1587.93
CodFuncionario:308; SalarioAtual:17454.11; TotaldeVendas:6131.51
CodFuncionario:309; SalarioAtual:16696.9; TotaldeVendas:6731.22
CodFuncionario:310; SalarioAtual:5494.15; TotaldeVendas:2422.77
CodFuncionario:311; SalarioAtual:29023.75; TotaldeVendas:4388.34
CodFuncionario:312; SalarioAtual:12791.06; TotaldeVendas:9403.53
CodFuncionario:313; SalarioAtual:26575.21; TotaldeVendas:1571.11
CodFuncionario:314; SalarioAtual:21649.85; TotaldeVendas:7093.19
CodFuncionario:315; SalarioAtual:16222.55; TotaldeVendas:8651.0
CodFuncionario:316; SalarioAtual:5103.09; TotaldeVendas:5759.91
CodFuncionario:317; SalarioAtual:28460.25; TotaldeVendas:6504.3
CodFuncionario:318; SalarioAtual:22904.62; TotaldeVendas:8256.38
CodFuncionario:319; SalarioAtual:7593.61; TotaldeVendas:2157.16
CodFuncionario:320; SalarioAtual:10357.6; TotaldeVendas:9442.02
CodFuncionario:321; SalarioAtual:10058.83; TotaldeVendas:1167.96
CodFuncionario:322; SalarioAtual:19204.92; TotaldeVendas:7472.99
CodFuncionario:323; SalarioAtual:5863.01; TotaldeVendas:7611.12
CodFuncionario:324; SalarioAtual:16010.56; TotaldeVendas:6753.05
CodFuncionario:325; SalarioAtual:28222.55; TotaldeVendas:6552.28
CodFuncionario:326; SalarioAtual:25212.65; TotaldeVendas:7519.73
CodFuncionario:327; SalarioAtual:12439.98; TotaldeVendas:1846.49
CodFuncionario:328; SalarioAtual:18591.7; TotaldeVendas:9413.88
CodFuncionario:329; SalarioAtual:18775.04; TotaldeVendas:6208.83
CodFuncionario:330; SalarioAtual:16146.29; TotaldeVendas:9863.05
CodFuncionario:331; SalarioAtual:24756.54; TotaldeVendas:7222.14
CodFuncionario:332; SalarioAtual:24736.34; TotaldeVendas:2414.48
CodFuncionario:333; SalarioAtual:22504.66; TotaldeVendas:2270.39
CodFuncionario:334; SalarioAtual:11392.65; TotaldeVendas:5500.26
CodFuncionario:335; SalarioAtual:13069.49; TotaldeVendas:1736.14
CodFuncionario:336; SalarioAtual:11455.19; TotaldeVendas:7359.98
CodFuncionario:337; SalarioAtual:12623.92; TotaldeVendas:9214.02
CodFuncionario:338; SalarioAtual:22249.0; TotaldeVendas:2531.97
CodFuncionario:339; SalarioAtual:29696.17; TotaldeVendas:5977.18
CodFuncionario:340; SalarioAtual:15922.68; TotaldeVendas:3850.65
CodFuncionario:341; SalarioAtual:16077.25; TotaldeVendas:8533.25
CodFuncionario:342; SalarioAtual:24213.37; TotaldeVendas:9837.61
CodFuncionario:343; SalarioAtual:17372.02; TotaldeVendas:3145.62
CodFuncionario:344; SalarioAtual:23079.62; TotaldeVendas:6879.37
CodFuncionario:345; SalarioAtual:29985.18; TotaldeVendas:8735.51
CodFuncionario:346; SalarioAtual:21046.52; TotaldeVendas:1990.21
CodFuncionario:347; SalarioAtual:18736.82; TotaldeVendas:7991.4
CodFuncionario:348; SalarioAtual:13388.21; TotaldeVendas:3125.78
CodFuncionario:349; SalarioAtual:26043.95; TotaldeVendas:7179.71
CodFuncionario:350; SalarioAtual:29507.62; TotaldeVendas:9245.49
CodFuncionario:351; SalarioAtual:14192.36; TotaldeVendas:4412.49
CodFuncionario:352; SalarioAtual:20159.09; TotaldeVendas:5710.2
CodFuncionario:353; SalarioAtual:24197.42; TotaldeVendas:4461.67
CodFuncionario:354; SalarioAtual:20072.52; TotaldeVendas:9971.36
CodFuncionario:355; SalarioAtual:29576.16; TotaldeVendas:5407.64
CodFuncionario:356; SalarioAtual:12728.96; TotaldeVendas:2773.47
CodFuncionario:357; SalarioAtual:7192.79; TotaldeVendas:6173.6
CodFuncionario:358; SalarioAtual:11126.58; TotaldeVendas:3265.18
CodFuncionario:359; SalarioAtual:10147.48; TotaldeVendas:9029.35
CodFuncionario:360; SalarioAtual:8618.71; TotaldeVendas:6423.61
CodFuncionario:361; SalarioAtual:5492.55; TotaldeVendas:1845.11
CodFuncionario:362; SalarioAtual:11672.35; TotaldeVendas:2644.55
CodFuncionario:363; SalarioAtual:12675.85; TotaldeVendas:4128.04
CodFuncionario:364; SalarioAtual:15324.58; TotaldeVendas:4421.91
CodFuncionario:365; SalarioAtual:28478.87; TotaldeVendas:6134.38
CodFuncionario:366; SalarioAtual:25605.34; TotaldeVendas:1491.95
CodFuncionario:367; SalarioAtual:5849.04; TotaldeVendas:4870.29
CodFuncionario:368; SalarioAtual:29333.88; TotaldeVendas:7143.09
CodFuncionario:369; SalarioAtual:5253.52; TotaldeVendas:3347.04
CodFuncionario:370; SalarioAtual:19489.09; TotaldeVendas:9654.57
CodFuncionario:371; SalarioAtual:13065.88; TotaldeVendas:8331.22
CodFuncionario:372; SalarioAtual:29918.49; TotaldeVendas:4699.3
CodFuncionario:373; SalarioAtual:19112.56; TotaldeVendas:2378.11
CodFuncionario:374; SalarioAtual:7998.1; TotaldeVendas:3803.62
CodFuncionario:375; SalarioAtual:20751.78; TotaldeVendas:6805.63
CodFuncionario:376; SalarioAtual:21956.86; TotaldeVendas:6819.7
CodFuncionario:377; SalarioAtual:14101.44; TotaldeVendas:1678.06
